temperature,city,pression,date
299.4,Washington,1007,2025-05-03 01:13
292.14,Paris,1012,2025-05-03 01:12
285.56,London,1015,2025-05-03 01:12
299.4,Washington,1007,2025-05-03 01:12
292.14,Paris,1012,2025-05-03 01:11
285.56,London,1015,2025-05-03 01:11
299.4,Washington,1007,2025-05-03 01:11
292.14,Paris,1012,2025-05-03 01:10
285.56,London,1015,2025-05-03 01:10
299.4,Washington,1007,2025-05-03 01:10
292.14,Paris,1012,2025-05-03 01:09
285.56,London,1015,2025-05-03 01:09
299.4,Washington,1007,2025-05-03 01:09
291.82,Paris,1012,2025-05-03 01:08
285.56,London,1015,2025-05-03 01:08
298.66,Washington,1007,2025-05-03 01:08
291.82,Paris,1012,2025-05-03 01:07
285.56,London,1015,2025-05-03 01:07
298.66,Washington,1007,2025-05-03 01:07
292.55,Paris,1012,2025-05-03 01:06
285.56,London,1015,2025-05-03 01:06
299.23,Washington,1007,2025-05-03 01:06
292.55,Paris,1012,2025-05-03 01:05
285.56,London,1015,2025-05-03 01:05
299.23,Washington,1007,2025-05-03 01:05
292.55,Paris,1012,2025-05-03 01:04
285.56,London,1015,2025-05-03 01:04
299.23,Washington,1007,2025-05-03 01:04
292.55,Paris,1012,2025-05-03 01:03
285.56,London,1015,2025-05-03 01:03
299.23,Washington,1007,2025-05-03 01:03
292.55,Paris,1012,2025-05-03 01:02
285.56,London,1015,2025-05-03 01:02
298.66,Washington,1007,2025-05-03 01:02
292.55,Paris,1012,2025-05-03 01:01
285.56,London,1015,2025-05-03 01:01
299.23,Washington,1007,2025-05-03 01:01
292.55,Paris,1012,2025-05-03 01:00
285.56,London,1015,2025-05-03 01:00
299.23,Washington,1007,2025-05-03 01:00
292.55,Paris,1012,2025-05-03 00:59
285.56,London,1015,2025-05-03 00:59
299.23,Washington,1007,2025-05-03 00:59
292.55,Paris,1012,2025-05-03 00:58
285.68,London,1015,2025-05-03 00:58
299.23,Washington,1007,2025-05-03 00:58
292.55,Paris,1012,2025-05-03 00:57
285.56,London,1015,2025-05-03 00:57
299.23,Washington,1007,2025-05-03 00:57
292.55,Paris,1012,2025-05-03 00:56
285.56,London,1015,2025-05-03 00:56
299.23,Washington,1007,2025-05-03 00:56
292.55,Paris,1012,2025-05-03 00:55
285.56,London,1015,2025-05-03 00:55
299.23,Washington,1007,2025-05-03 00:55
292.55,Paris,1012,2025-05-03 00:54
285.68,London,1015,2025-05-03 00:54
299.23,Washington,1007,2025-05-03 00:54
292.55,Paris,1012,2025-05-03 00:53
285.56,London,1015,2025-05-03 00:53
298.7,Washington,1007,2025-05-03 00:53
292.55,Paris,1012,2025-05-03 00:52
285.68,London,1015,2025-05-03 00:52
298.7,Washington,1007,2025-05-03 00:52
292.55,Paris,1012,2025-05-03 00:51
285.68,London,1015,2025-05-03 00:51
298.7,Washington,1007,2025-05-03 00:51
292.56,Paris,1012,2025-05-03 00:50
285.68,London,1015,2025-05-03 00:50
298.7,Washington,1007,2025-05-03 00:50
292.56,Paris,1012,2025-05-03 00:49
285.68,London,1015,2025-05-03 00:49
298.7,Washington,1007,2025-05-03 00:49
292.56,Paris,1012,2025-05-03 00:48
285.68,London,1015,2025-05-03 00:48
298.7,Washington,1007,2025-05-03 00:48
292.55,Paris,1012,2025-05-03 00:47
285.68,London,1015,2025-05-03 00:47
298.7,Washington,1007,2025-05-03 00:47
292.56,Paris,1012,2025-05-03 00:46
285.68,London,1015,2025-05-03 00:46
298.7,Washington,1007,2025-05-03 00:46
292.56,Paris,1012,2025-05-03 00:45
285.73,London,1015,2025-05-03 00:45
298.7,Washington,1007,2025-05-03 00:45
292.56,Paris,1012,2025-05-03 00:44
285.73,London,1015,2025-05-03 00:44
298.7,Washington,1007,2025-05-03 00:44
292.4,Paris,1012,2025-05-03 00:43
285.72,London,1015,2025-05-03 00:43
298.7,Washington,1007,2025-05-03 00:43
292.56,Paris,1012,2025-05-03 00:42
285.73,London,1015,2025-05-03 00:42
298.7,Washington,1007,2025-05-03 00:42
292.4,Paris,1012,2025-05-03 00:41
285.73,London,1015,2025-05-03 00:41
298.7,Washington,1007,2025-05-03 00:41
292.56,Paris,1012,2025-05-03 00:40
285.68,London,1015,2025-05-03 00:40
298.7,Washington,1007,2025-05-03 00:40
292.42,Paris,1012,2025-05-03 00:39
285.75,London,1015,2025-05-03 00:39
298.7,Washington,1007,2025-05-03 00:39
292.42,Paris,1012,2025-05-03 00:38
285.73,London,1015,2025-05-03 00:38
299.99,Washington,1007,2025-05-03 00:38
292.42,Paris,1012,2025-05-03 00:37
285.73,London,1015,2025-05-03 00:37
299.99,Washington,1007,2025-05-03 00:37
292.42,Paris,1012,2025-05-03 00:36
285.73,London,1015,2025-05-03 00:36
299.99,Washington,1007,2025-05-03 00:36
292.42,Paris,1012,2025-05-03 00:35
285.65,London,1015,2025-05-03 00:35
299.99,Washington,1007,2025-05-03 00:35
292.42,Paris,1012,2025-05-03 00:34
285.65,London,1015,2025-05-03 00:34
299.99,Washington,1007,2025-05-03 00:34
292.42,Paris,1012,2025-05-03 00:33
285.65,London,1015,2025-05-03 00:33
299.94,Washington,1006,2025-05-03 00:33
292.42,Paris,1012,2025-05-03 00:32
285.65,London,1015,2025-05-03 00:32
299.99,Washington,1007,2025-05-03 00:32
292.42,Paris,1012,2025-05-03 00:31
285.65,London,1015,2025-05-03 00:31
299.99,Washington,1007,2025-05-03 00:31
292.42,Paris,1012,2025-05-03 00:30
285.65,London,1015,2025-05-03 00:30
299.99,Washington,1007,2025-05-03 00:30
292.42,Paris,1012,2025-05-03 00:29
285.65,London,1015,2025-05-03 00:29
299.99,Washington,1007,2025-05-03 00:29
292.42,Paris,1012,2025-05-03 00:28
285.65,London,1015,2025-05-03 00:28
299.99,Washington,1007,2025-05-03 00:28
292.42,Paris,1012,2025-05-03 00:27
285.65,London,1015,2025-05-03 00:27
299.7,Washington,1007,2025-05-03 00:27
292.42,Paris,1012,2025-05-03 00:26
285.65,London,1015,2025-05-03 00:26
299.7,Washington,1007,2025-05-03 00:26
292.42,Paris,1012,2025-05-03 00:25
285.65,London,1015,2025-05-03 00:25
299.7,Washington,1007,2025-05-03 00:25
292.42,Paris,1012,2025-05-03 00:24
285.65,London,1015,2025-05-03 00:24
299.7,Washington,1007,2025-05-03 00:24
292.04,Paris,1012,2025-05-03 00:23
285.65,London,1015,2025-05-03 00:23
299.7,Washington,1007,2025-05-03 00:23
292.04,Paris,1012,2025-05-03 00:22
285.65,London,1015,2025-05-03 00:22
299.7,Washington,1007,2025-05-03 00:22
292.04,Paris,1012,2025-05-03 00:21
285.65,London,1015,2025-05-03 00:21
299.63,Washington,1007,2025-05-03 00:21
292.04,Paris,1012,2025-05-03 00:20
285.65,London,1015,2025-05-03 00:20
299.63,Washington,1007,2025-05-03 00:20
292.04,Paris,1012,2025-05-03 00:19
285.72,London,1016,2025-05-03 00:19
299.7,Washington,1007,2025-05-03 00:19
292.04,Paris,1012,2025-05-03 00:18
285.72,London,1016,2025-05-03 00:18
299.7,Washington,1007,2025-05-03 00:18
292.04,Paris,1012,2025-05-03 00:17
285.72,London,1016,2025-05-03 00:17
299.7,Washington,1007,2025-05-03 00:17
292.04,Paris,1012,2025-05-03 00:16
285.72,London,1016,2025-05-03 00:16
299.63,Washington,1007,2025-05-03 00:16
292.04,Paris,1012,2025-05-03 00:15
285.72,London,1016,2025-05-03 00:15
299.63,Washington,1007,2025-05-03 00:15
292.04,Paris,1012,2025-05-03 00:14
285.77,London,1016,2025-05-03 00:14
299.63,Washington,1007,2025-05-03 00:14
292.04,Paris,1012,2025-05-03 00:13
285.72,London,1016,2025-05-03 00:13
299.63,Washington,1007,2025-05-03 00:13
292.04,Paris,1012,2025-05-03 00:12
285.72,London,1016,2025-05-03 00:12
299.63,Washington,1007,2025-05-03 00:12
292.09,Paris,1012,2025-05-03 00:11
285.75,London,1016,2025-05-03 00:11
299.63,Washington,1007,2025-05-03 00:11
292.09,Paris,1012,2025-05-03 00:10
285.75,London,1016,2025-05-03 00:10
299.63,Washington,1007,2025-05-03 00:10
292.09,Paris,1012,2025-05-03 00:09
285.75,London,1016,2025-05-03 00:09
299.63,Washington,1007,2025-05-03 00:09
291.98,Paris,1012,2025-05-03 00:08
285.75,London,1016,2025-05-03 00:08
299.63,Washington,1007,2025-05-03 00:08
291.98,Paris,1012,2025-05-03 00:07
285.75,London,1016,2025-05-03 00:07
299.63,Washington,1007,2025-05-03 00:07
292.09,Paris,1012,2025-05-03 00:06
285.75,London,1016,2025-05-03 00:06
299.63,Washington,1007,2025-05-03 00:06
292.09,Paris,1012,2025-05-03 00:05
285.75,London,1016,2025-05-03 00:05
299.63,Washington,1007,2025-05-03 00:05
291.98,Paris,1012,2025-05-03 00:04
285.75,London,1016,2025-05-03 00:04
299.63,Washington,1007,2025-05-03 00:04
291.98,Paris,1012,2025-05-03 00:03
285.75,London,1016,2025-05-03 00:03
299.63,Washington,1007,2025-05-03 00:03
291.98,Paris,1012,2025-05-03 00:02
285.94,London,1016,2025-05-03 00:02
299.63,Washington,1007,2025-05-03 00:02
291.98,Paris,1012,2025-05-03 00:00
285.94,London,1016,2025-05-03 00:00
299.63,Washington,1007,2025-05-03 00:00
291.98,Paris,1012,2025-05-02 23:59
285.94,London,1016,2025-05-02 23:59
299.63,Washington,1007,2025-05-02 23:59
291.98,Paris,1012,2025-05-02 23:58
285.94,London,1016,2025-05-02 23:58
299.63,Washington,1007,2025-05-02 23:58
291.98,Paris,1012,2025-05-02 23:57
285.94,London,1016,2025-05-02 23:57
299.63,Washington,1007,2025-05-02 23:57
291.98,Paris,1012,2025-05-02 23:56
286.07,London,1016,2025-05-02 23:56
299.63,Washington,1007,2025-05-02 23:56
291.98,Paris,1012,2025-05-02 23:55
286.07,London,1016,2025-05-02 23:55
299.63,Washington,1007,2025-05-02 23:55
291.98,Paris,1012,2025-05-02 23:54
286.07,London,1016,2025-05-02 23:54
299.63,Washington,1007,2025-05-02 23:54
291.98,Paris,1012,2025-05-02 23:53
286.07,London,1016,2025-05-02 23:53
298.88,Washington,1007,2025-05-02 23:53
291.98,Paris,1012,2025-05-02 23:52
286.07,London,1016,2025-05-02 23:52
298.88,Washington,1007,2025-05-02 23:52
291.98,Paris,1012,2025-05-02 23:51
286.07,London,1016,2025-05-02 23:51
298.88,Washington,1007,2025-05-02 23:51
291.98,Paris,1012,2025-05-02 23:50
286.11,London,1016,2025-05-02 23:50
299.63,Washington,1007,2025-05-02 23:50
291.98,Paris,1012,2025-05-02 23:49
286.11,London,1016,2025-05-02 23:49
298.88,Washington,1007,2025-05-02 23:49
291.98,Paris,1012,2025-05-02 23:48
286.11,London,1016,2025-05-02 23:48
298.88,Washington,1007,2025-05-02 23:48
291.98,Paris,1012,2025-05-02 23:47
286.11,London,1016,2025-05-02 23:47
298.88,Washington,1007,2025-05-02 23:47
291.98,Paris,1012,2025-05-02 23:46
286.12,London,1016,2025-05-02 23:46
298.88,Washington,1007,2025-05-02 23:46
291.98,Paris,1012,2025-05-02 23:45
286.12,London,1016,2025-05-02 23:45
298.88,Washington,1007,2025-05-02 23:45
291.98,Paris,1012,2025-05-02 23:44
286.11,London,1016,2025-05-02 23:44
298.88,Washington,1007,2025-05-02 23:44
291.98,Paris,1012,2025-05-02 23:43
286.11,London,1016,2025-05-02 23:43
298.88,Washington,1007,2025-05-02 23:43
291.98,Paris,1012,2025-05-02 23:42
286.23,London,1016,2025-05-02 23:42
298.88,Washington,1007,2025-05-02 23:42
291.98,Paris,1012,2025-05-02 23:41
286.23,London,1016,2025-05-02 23:41
298.88,Washington,1007,2025-05-02 23:41
292.23,Paris,1012,2025-05-02 23:39
286.35,London,1016,2025-05-02 23:39
299.0,Washington,1007,2025-05-02 23:39
292.23,Paris,1012,2025-05-02 23:38
286.35,London,1016,2025-05-02 23:38
299.0,Washington,1007,2025-05-02 23:38
292.23,Paris,1012,2025-05-02 23:37
286.35,London,1016,2025-05-02 23:37
299.0,Washington,1007,2025-05-02 23:37
292.23,Paris,1012,2025-05-02 23:36
286.35,London,1016,2025-05-02 23:36
299.0,Washington,1007,2025-05-02 23:36
292.23,Paris,1012,2025-05-02 23:35
286.23,London,1016,2025-05-02 23:35
299.0,Washington,1007,2025-05-02 23:35
292.23,Paris,1012,2025-05-02 23:34
286.23,London,1016,2025-05-02 23:34
299.0,Washington,1007,2025-05-02 23:34
293.11,Paris,1012,2025-05-02 23:33
286.32,London,1016,2025-05-02 23:33
299.0,Washington,1007,2025-05-02 23:33
293.11,Paris,1012,2025-05-02 23:32
286.32,London,1016,2025-05-02 23:32
299.0,Washington,1007,2025-05-02 23:32
293.11,Paris,1012,2025-05-02 23:31
286.32,London,1016,2025-05-02 23:31
299.0,Washington,1007,2025-05-02 23:31
293.11,Paris,1012,2025-05-02 23:30
286.32,London,1016,2025-05-02 23:30
299.0,Washington,1007,2025-05-02 23:30
293.11,Paris,1012,2025-05-02 23:29
286.32,London,1016,2025-05-02 23:29
299.0,Washington,1007,2025-05-02 23:29
293.11,Paris,1012,2025-05-02 23:28
286.32,London,1016,2025-05-02 23:28
299.0,Washington,1007,2025-05-02 23:28
293.11,Paris,1012,2025-05-02 23:27
286.32,London,1016,2025-05-02 23:27
299.0,Washington,1007,2025-05-02 23:27
293.11,Paris,1012,2025-05-02 23:26
286.32,London,1016,2025-05-02 23:26
299.0,Washington,1007,2025-05-02 23:26
293.11,Paris,1012,2025-05-02 23:25
286.32,London,1016,2025-05-02 23:25
299.0,Washington,1007,2025-05-02 23:25
293.11,Paris,1012,2025-05-02 23:24
286.32,London,1016,2025-05-02 23:24
299.0,Washington,1007,2025-05-02 23:24
292.0,Paris,1012,2025-05-02 23:23
286.32,London,1016,2025-05-02 23:23
299.63,Washington,1007,2025-05-02 23:23
292.0,Paris,1012,2025-05-02 23:22
286.55,London,1016,2025-05-02 23:22
299.56,Washington,1007,2025-05-02 23:22
292.0,Paris,1012,2025-05-02 23:21
286.55,London,1016,2025-05-02 23:21
299.56,Washington,1007,2025-05-02 23:21
292.0,Paris,1012,2025-05-02 23:20
286.55,London,1016,2025-05-02 23:20
299.56,Washington,1007,2025-05-02 23:20
292.0,Paris,1012,2025-05-02 23:19
286.55,London,1016,2025-05-02 23:19
299.56,Washington,1007,2025-05-02 23:19
292.0,Paris,1012,2025-05-02 23:18
286.55,London,1016,2025-05-02 23:18
299.56,Washington,1007,2025-05-02 23:18
